Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid
"Onyx White 1t.",20707,GARDENSTONES,1,1.2,1.2,4419.39,3137.77,4079.2,4162.7,3671.2,3754.7,3451.6,3535.1,,0,,2021-12-23 00:00:00,,0,0,,1,,24132
"Leopard Skin 1t.",20708,GARDENSTONES,1,1.2,1.2,7187.44,5103.08,6634.1,6717.6,5970.7,6054.2,5613.4,5696.9,,0,,2021-12-23 00:00:00,,0,0,,1,,24133
"Biała Marianna 1t.",20709,GARDENSTONES,1,1.2,1.2,367.04,260.6,338.8,422.3,305,388.5,286.7,370.2,,0,,2021-12-23 00:00:00,,0,0,,1,,24134
"Lastryko 1t.",20710,GARDENSTONES,1,1.2,1.2,243.5,172.89,224.8,308.3,202.3,285.8,190.2,273.7,,0,,2021-12-23 00:00:00,,0,0,,1,,24135
"White Angel 1t.",20711,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24165
"Bianco Carrara 1t.",20712,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24168
"Bianco 1t.",20713,GARDENSTONES,1,1.2,1.2,591.95,420.28,546.4,629.9,491.8,575.3,462.4,545.9,,0,,2021-12-23 00:00:00,,0,0,,1,,24138
"Dolomit Biały 1t.",20714,GARDENSTONES,1,1.2,1.2,233.7,165.93,215.8,299.3,194.2,277.7,182.6,266.1,,0,,2021-12-23 00:00:00,,0,0,,1,,24139
"Kalcyt 1t.",20715,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24199
"Bardiglio 1t.",20716,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24171
"Grigio 1t.",20717,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24142
"Devon 1t.",20718,GARDENSTONES,1,1.2,1.2,246.36,174.91,227.4,310.9,204.7,288.2,192.5,276,,0,,2021-12-23 00:00:00,,0,0,,1,,24143
