Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
Multicomplex - nerino,73,POLBRUK,12,1.58,0.13166666666667,81,18,43,67,54.2,56.4,49,51.2,46.3,48.5,,0,,2021-12-23 00:00:00,,1.2,0,,1,1,6702
Ideo - szary,74,POLBRUK,11.88,1.56,0.13131313131313,63,47,31,61,37.7,40,35.5,37.8,33.6,35.9,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6713
Ideo - grafitowy,75,POLBRUK,11.88,1.56,0.13131313131313,67,9,34,7,40.6,42.9,38.2,40.5,36.2,38.5,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6714
Ideo - hawaii,76,POLBRUK,11.88,1.56,0.13131313131313,81,18,43,67,54.2,56.5,49,51.3,46.3,48.6,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6715
Ideo - latte,77,POLBRUK,11.88,1.56,0.13131313131313,81,18,43,67,54.2,56.5,49,51.3,46.3,48.6,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6717
Ideo - nerino,78,POLBRUK,11.88,1.56,0.13131313131313,81,18,43,67,54.2,56.5,49,51.3,46.3,48.6,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6718
Ideo - onyx,79,POLBRUK,11.88,1.56,0.13131313131313,81,18,43,67,54.2,56.5,49,51.3,46.3,48.6,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6719
Ideo - bianka_d,80,POLBRUK,11.88,1.56,0.13131313131313,97,42,47,36,58.8,61.1,53.1,55.4,50.3,52.6,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6720
Ideo - ritmo_d,81,POLBRUK,11.88,1.56,0.13131313131313,97,42,47,36,58.8,61.1,53.1,55.4,50.3,52.6,,0,,2021-12-23 00:00:00,,1.188,0,,1,1,6722
Obrzeże Endo - brązowy,82,POLBRUK,44,1.12,0.025454545454545,14,76,9,84,12.3,12.9,11.1,11.7,10.5,11.1,,0,,2021-12-23 00:00:00,,1,0,,1,,6728
Obrzeże Endo - grafitowy,83,POLBRUK,44,1.12,0.025454545454545,14,76,9,84,12.3,12.9,11.1,11.7,10.5,11.1,,0,,2021-12-23 00:00:00,,1,0,,1,,6730
Obrzeże Endo - szary,84,POLBRUK,44,1.12,0.025454545454545,14,2,8,73,10.9,11.5,9.8,10.4,9.3,9.9,,0,,2021-12-23 00:00:00,,1,0,,1,,6731
