LP,Nazwa,PRODUCENT,Dopłata bez rabatu,CENA SZTUKI BEZ RABATU,CENA KATALOGOWA NETTO,KATALOGOWA,CENA TRANSPORTU BRUTTO,ile na zest,cena transp b.,Rabat oferta,cena zakupu brutto fabryka,cena zakupu netto,cena zakupu brutto plac wieliczka,Rabat właściwy hurt,Rabat właściwy brukarski,Rabat właściwy detaliczny,rabat basic,FABRYKA DETAL,PLAC DETAL,ZYSK Z FABRYKI DETAL,ZYSK Z PLACU DETAL,FABRYKA HURT,PLAC HURT,ZYSK Z FABRYKI HURT,ZYSK Z PLACU  HURT,FABRYKA SPECJALNA,PLAC SPECJALNA,ZYSK Z FABRYKI  SPECJALNA,ZYSK Z PLACU SPECJALNA,CENA M2/szt,WAGA m2/szt,WAGA PALETY,PAKOWANIE m2/szt,CENA KURIERA,CENA STRONA,ILOŚĆ WARSTW,Sprzedawany z placu,Sprzedawany na warstwy,minimalna ilosc,paletowane,prowizja na sztuki
1046,"TIRANO 80x80x5 - gładka, stalowy",KOST-BET,,,,"95,47","1174,65",16,"12,2359375",52,"63,96",52,"76,2",15,13,5,33,"78,46","90,70","11,79","11,79","70,82","83,06","5,58","5,58","68,91","81,15","4,02","4,02",,"80,00","0,48",6,,"90,70",,,TAK,1,1,0
1047,"TIRANO 60x60x4 - Pro_Tech, biały forte",KOST-BET,"14,06",,,"65,63","1174,65",16,"2,8236778846","35,75","43,97","35,75","46,8",15,13,5,33,"59,53","62,35","12,65","12,65","54,28","57,10","8,38","8,38","52,97","55,79","7,31","7,31",,"12,79","0,88",26,,"62,35",,,TAK,1,1,0
1048,"TIRANO 60x60x4 - Pro_Tech, biały_k",KOST-BET,"14,06",,,"57,04","1174,65",16,"2,8236778846","31,07","38,22","31,07","41,04",15,13,5,33,"51,37","54,19","10,69","10,69","46,81","49,63","6,98","6,98","45,67","48,49","6,06","6,06",,"12,79","0,88",26,,"54,19",,,TAK,1,1,0
1049,"TIRANO 60x60x4 - Pro_Tech, grafitowy",KOST-BET,"14,06",,,"57,04","1174,65",16,"2,8236778846","31,07","38,22","31,07","41,04",15,13,5,33,"51,37","54,19","10,69","10,69","46,81","49,63","6,98","6,98","45,67","48,49","6,06","6,06",,"12,79","0,88",26,,"54,19",,,TAK,1,1,0
1050,"TIRANO 60x60x4 - Pro_Tech, stalowy",KOST-BET,"14,06",,,"57,04","1174,65",16,"2,8236778846","31,07","38,22","31,07","41,04",15,13,5,33,"51,37","54,19","10,69","10,69","46,81","49,63","6,98","6,98","45,67","48,49","6,06","6,06",,"12,79","0,88",26,,"54,19",,,TAK,1,1,0
1051,"TIRANO 60x60x4 - gładka, biały forte",KOST-BET,,,,"51,57","1174,65",16,"2,8236778846","28,09","34,55","28,09","37,38",15,13,5,33,"46,18","49,00","9,45","9,45","42,05","44,87","6,09","6,09","41,02","43,84","5,26","5,26",,"33,85","0,88",26,,"49,00",,,TAK,1,1,0
1052,"TIRANO 60x60x4 - gładka, biały_k",KOST-BET,,,,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1053,"TIRANO 60x60x4 - gładka, grafitowy",KOST-BET,,,,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1054,"TIRANO 60x60x4 - gładka, stalowy",KOST-BET,,,,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1055,"RIBENA 80x40x8 - Pro_Tech, biały_k",KOST-BET,"12,71",,,"64,28","1174,65",16,"5,2439732143","35,01","43,07","35,01","48,31",15,13,5,33,"55,83","61,07","10,37","10,37","50,69","55,93","6,19","6,19","49,40","54,64","5,15","5,15",,"11,55","0,81",14,,"61,07",,,TAK,1,1,0
1056,"RIBENA 80x40x8 - Pro_Tech, A4 czekolada ciemna",KOST-BET,"12,71","51,57",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1057,"RIBENA 80x40x8 - Pro_Tech, A4 czekolada jasna",KOST-BET,"12,71","54,47",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1058,"RIBENA 80x40x8 - Pro_Tech, A5 Toffi",KOST-BET,"12,71","54,47",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1059,"RIBENA 80x40x8 - Pro_Tech, A6 marago ciemne",KOST-BET,"12,71","54,47",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1060,"RIBENA 80x40x8 - Pro_Tech, A6 marago jasne",KOST-BET,"12,71","54,47",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1061,"RIBENA 80x40x8 - Pro_Tech, A7 Wanilia",KOST-BET,"12,71","54,47",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1062,"RIBENA 80x40x8 - Pro_Tech, A8 Mocca",KOST-BET,"12,71","54,47",,"67,18","1174,65",16,"5,2439732143","36,59","45,01","36,59","50,25",15,13,5,33,"58,59","63,83","11,04","11,04","53,21","58,45","6,66","6,66","51,87","57,11","5,57","5,57",,"11,55","0,81",14,,"63,83",,,TAK,1,1,0
1063,"RIBENA 80x40x8 - Pro_Tech, grafitowy",KOST-BET,"12,71","54,47",,"64,28","1174,65",16,"5,2439732143","35,01","43,07","35,01","48,31",15,13,5,33,"55,83","61,07","10,37","10,37","50,69","55,93","6,19","6,19","49,40","54,64","5,15","5,15",,"11,55","0,81",14,,"61,07",,,TAK,1,1,0
1064,"RIBENA 80x40x8 - gładka, biały_k",KOST-BET,,"51,57",,"51,57","1174,65",16,"5,2439732143","28,09","34,55","28,09","39,8",15,13,5,33,"43,76","49,00","7,48","7,48","39,63","44,87","4,13","4,13","38,60","43,84","3,29","3,29",,"58,14","0,81",14,,"49,00",,,TAK,1,1,0
1065,"RIBENA 80x40x8 - gładka, A4 czekolada ciemna",KOST-BET,,"51,57",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1066,"RIBENA 80x40x8 - gładka, A4 czekolada jasna",KOST-BET,,"54,47",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1067,"RIBENA 80x40x8 - gładka, A5 Toffi",KOST-BET,,"54,47",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1068,"RIBENA 80x40x8 - gładka, A6 marago ciemne",KOST-BET,,"54,47",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1069,"RIBENA 80x40x8 - gładka, A6 marago jasne",KOST-BET,,"54,47",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1070,"RIBENA 80x40x8 - gładka, A7 Wanilia",KOST-BET,,"54,47",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1071,"RIBENA 80x40x8 - gładka, A8 Mocca",KOST-BET,,"54,47",,"54,47","1174,65",16,"5,2439732143","29,67","36,49","29,67","41,74",15,13,5,33,"46,51","51,75","8,14","8,14","42,15","47,39","4,59","4,59","41,06","46,30","3,71","3,71",,"58,14","0,81",14,,"51,75",,,TAK,1,1,0
1072,"RIBENA 80x40x8 - gładka, grafitowy",KOST-BET,,"54,47",,"51,57","1174,65",16,"5,2439732143","28,09","34,55","28,09","39,8",15,13,5,33,"43,76","49,00","7,48","7,48","39,63","44,87","4,13","4,13","38,60","43,84","3,29","3,29",,"58,14","0,81",14,,"49,00",,,TAK,1,1,0
1073,"RIBENA 60x60x4 - Pro_Tech, biały_k",KOST-BET,"14,06","51,57",,"57,04","1174,65",16,"2,8236778846","31,07","38,22","31,07","41,04",15,13,5,33,"51,37","54,19","10,69","10,69","46,81","49,63","6,98","6,98","45,67","48,49","6,06","6,06",,"12,79","0,88",26,,"54,19",,,TAK,1,1,0
1074,"RIBENA 60x60x4 - Pro_Tech, A4 czekolada ciemna",KOST-BET,"14,06","42,98",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1075,"RIBENA 60x60x4 - Pro_Tech, A4 czekolada jasna",KOST-BET,"14,06","46,89",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1076,"RIBENA 60x60x4 - Pro_Tech, A5 Toffi",KOST-BET,"14,06","46,89",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1077,"RIBENA 60x60x4 - Pro_Tech, A6 marago ciemne",KOST-BET,"14,06","46,89",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1078,"RIBENA 60x60x4 - Pro_Tech, A6 marago jasne",KOST-BET,"14,06","46,89",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1079,"RIBENA 60x60x4 - Pro_Tech, A7 Wanilia",KOST-BET,"14,06","46,89",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1080,"RIBENA 60x60x4 - Pro_Tech, A8 Mocca",KOST-BET,"14,06","46,89",,"60,95","1174,65",16,"2,8236778846","33,2","40,84","33,2","43,66",15,13,5,33,"55,09","57,91","11,59","11,59","50,21","53,03","7,62","7,62","48,99","51,81","6,63","6,63",,"12,79","0,88",26,,"57,91",,,TAK,1,1,0
1081,"RIBENA 60x60x4 - Pro_Tech, grafitowy",KOST-BET,"14,06","46,89",,"57,04","1174,65",16,"2,8236778846","31,07","38,22","31,07","41,04",15,13,5,33,"51,37","54,19","10,69","10,69","46,81","49,63","6,98","6,98","45,67","48,49","6,06","6,06",,"12,79","0,88",26,,"54,19",,,TAK,1,1,0
1082,"RIBENA 60x60x4 - Pro_Tech, biały forte",KOST-BET,"14,06","42,98",,"62,51","1174,65",16,"2,8236778846","34,05","41,88","34,05","44,71",15,13,5,33,"56,57","59,39","11,94","11,94","51,57","54,39","7,87","7,87","50,32","53,14","6,86","6,86",,"12,79","0,88",26,,"59,39",,,TAK,1,1,0
1083,"RIBENA 60x60x4 - gładka, biały_k",KOST-BET,,"48,45",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1084,"RIBENA 60x60x4 - gładka, A4 czekolada ciemna",KOST-BET,,"42,98",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1085,"RIBENA 60x60x4 - gładka, A4 czekolada jasna",KOST-BET,,"46,89",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1086,"RIBENA 60x60x4 - gładka, A5 Toffi",KOST-BET,,"46,89",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1087,"RIBENA 60x60x4 - gładka, A6 marago ciemne",KOST-BET,,"46,89",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1088,"RIBENA 60x60x4 - gładka, A6 marago jasne",KOST-BET,,"46,89",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1089,"RIBENA 60x60x4 - gładka, A7 Wanilia",KOST-BET,,"46,89",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1090,"RIBENA 60x60x4 - gładka, A8 Mocca",KOST-BET,,"46,89",,"46,89","1174,65",16,"2,8236778846","25,54","31,42","25,54","34,24",15,13,5,33,"41,73","44,55","8,38","8,38","37,98","40,80","5,33","5,33","37,04","39,86","4,57","4,57",,"33,85","0,88",26,,"44,55",,,TAK,1,1,0
1091,"RIBENA 60x60x4 - gładka, grafitowy",KOST-BET,,"46,89",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1092,"RIBENA 60x60x4 - Pro_Tech, stalowy",KOST-BET,"14,06","42,98",,"57,04","1174,65",16,"2,8236778846","31,07","38,22","31,07","41,04",15,13,5,33,"51,37","54,19","10,69","10,69","46,81","49,63","6,98","6,98","45,67","48,49","6,06","6,06",,"12,79","0,88",26,,"54,19",,,TAK,1,1,0
1093,"RIBENA 60x60x4 - gładka, stalowy",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1094,"RIBENA 80x40x4 - Pro_Tech, biały forte",KOST-BET,"12,71","42,98",,"57,25","1174,65",16,"2,8236778846","31,18","38,36","31,18","41,18",15,13,5,33,"51,57","54,39","10,74","10,74","46,99","49,81","7,02","7,02","45,85","48,67","6,09","6,09",,"11,55","0,88",26,,"54,39",,,TAK,1,1,0
1095,"RIBENA 80x40x4 - Pro_Tech, biały_k",KOST-BET,"12,71","44,54",,"53,73","1174,65",16,"2,8236778846","29,27",36,"29,27","38,82",15,13,5,33,"48,23","51,05","9,94","9,94","43,93","46,75","6,44","6,44","42,86","45,68","5,57","5,57",,"11,55","0,88",26,,"51,05",,,TAK,1,1,0
1096,"RIBENA 80x40x4 - Pro_Tech, A4 czekolada ciemna",KOST-BET,"12,71","41,02",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1097,"RIBENA 80x40x4 - Pro_Tech, A4 czekolada jasna",KOST-BET,"12,71","42,98",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1098,"RIBENA 80x40x4 - Pro_Tech, A5 Toffi",KOST-BET,"12,71","42,98",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1099,"RIBENA 80x40x4 - Pro_Tech, A6 marago ciemne",KOST-BET,"12,71","42,98",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1100,"RIBENA 80x40x4 - Pro_Tech, A6 marago jasne",KOST-BET,"12,71","42,98",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1101,"RIBENA 80x40x4 - Pro_Tech, A7 Wanilia",KOST-BET,"12,71","42,98",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1102,"RIBENA 80x40x4 - Pro_Tech, A8 Mocca",KOST-BET,"12,71","42,98",,"55,69","1174,65",16,"2,8236778846","30,34","37,31","30,34","40,14",15,13,5,33,"50,09","52,91","10,39","10,39","45,64","48,46","6,77","6,77","44,52","47,34","5,86","5,86",,"11,55","0,88",26,,"52,91",,,TAK,1,1,0
1103,"RIBENA 80x40x4 - Pro_Tech, szary",KOST-BET,"12,71","42,98",,"12,71","1174,65",16,"2,8236778846","6,92","8,52","6,92","11,34",15,13,5,33,"9,26","12,08","0,60","0,60","8,24","11,06","-0,23","-0,23","7,99","10,81","-0,43","-0,43",,"11,55","0,88",26,,"12,08",,,TAK,1,1,0
1104,"RIBENA 80x40x4 - gładka, biały_k",KOST-BET,,,,"41,02","1174,65",16,"2,8236778846","22,34","27,48","22,34","30,31",15,13,5,33,"36,15","38,97","7,04","7,04","32,87","35,69","4,38","4,38","32,05","34,87","3,71","3,71",,"33,85","0,88",26,,"38,97",,,TAK,1,1,0
1105,"RIBENA 80x40x4 - gładka, A4 czekolada ciemna",KOST-BET,,"41,02",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1106,"RIBENA 80x40x4 - gładka, A4 czekolada jasna",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1107,"RIBENA 80x40x4 - gładka, A5 Toffi",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1108,"RIBENA 80x40x4 - gładka, A6 marago ciemne",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1109,"RIBENA 80x40x4 - gładka, A6 marago jasne",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1110,"RIBENA 80x40x4 - gładka, A7 Wanilia",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1111,"RIBENA 80x40x4 - gładka, A8 Mocca",KOST-BET,,"42,98",,"42,98","1174,65",16,"2,8236778846","23,41","28,8","23,41","31,62",15,13,5,33,"38,02","40,84","7,50","7,50","34,58","37,40","4,70","4,70","33,72","36,54","4,00","4,00",,"33,85","0,88",26,,"40,84",,,TAK,1,1,0
1112,"RIBENA 80x40x4 - gładka, szary",KOST-BET,,"42,98",,"37,29","1174,65",16,"2,8236778846","20,31","24,98","20,31","27,81",15,13,5,33,"32,61","35,43","6,20","6,20","29,63","32,45","3,77","3,77","28,88","31,70","3,16","3,16",,"33,85","0,88",26,,"35,43",,,TAK,1,1,0
1113,"RIBENA 80x40x4 - Pro_Tech, grafitowy",KOST-BET,"12,71",,,"53,73","1174,65",16,"2,8236778846","29,27",36,"29,27","38,82",15,13,5,33,"48,23","51,05","9,94","9,94","43,93","46,75","6,44","6,44","42,86","45,68","5,57","5,57",,"11,55","0,88",26,,"51,05",,,TAK,1,1,0
1114,"RIBENA 80x40x4 - gładka, grafitowy",KOST-BET,,"41,02",,"41,02","1174,65",16,"2,8236778846","22,34","27,48","22,34","30,31",15,13,5,33,"36,15","38,97","7,04","7,04","32,87","35,69","4,38","4,38","32,05","34,87","3,71","3,71",,"33,85","0,88",26,,"38,97",,,TAK,1,1,0
1115,"RIBENA 80x60x4 - Pro_Tech, biały forte",KOST-BET,"19,89","41,02",,"99,43","1174,65",16,"2,8236778846","54,16","66,62","54,16","69,44",15,13,5,33,"91,64","94,46","20,34","20,34","83,69","86,51","13,88","13,88","81,70","84,52","12,26","12,26",,"18,08","1,24",26,,"94,46",,,TAK,1,1,0
1116,"RIBENA 80x60x4 - Pro_Tech, biały_k",KOST-BET,"19,89","79,54",,"92,35","1174,65",16,"2,8236778846","50,3","61,87","50,3","64,7",15,13,5,33,"84,92","87,74","18,73","18,73","77,53","80,35","12,73","12,73","75,68","78,50","11,22","11,22",,"18,08","1,24",26,,"87,74",,,TAK,1,1,0
1117,"RIBENA 80x60x4 - Pro_Tech, A4 czekolada ciemna",KOST-BET,"19,89","72,46",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1118,"RIBENA 80x60x4 - Pro_Tech, A4 czekolada jasna",KOST-BET,"19,89","76,72",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1119,"RIBENA 80x60x4 - Pro_Tech, A5 Toffi",KOST-BET,"19,89","76,72",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1120,"RIBENA 80x60x4 - Pro_Tech, A6 marago ciemne",KOST-BET,"19,89","76,72",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1121,"RIBENA 80x60x4 - Pro_Tech, A6 marago jasne",KOST-BET,"19,89","76,72",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1122,"RIBENA 80x60x4 - Pro_Tech, A7 Wanilia",KOST-BET,"19,89","76,72",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1123,"RIBENA 80x60x4 - Pro_Tech, A8 Mocca",KOST-BET,"19,89","76,72",,"96,61","1174,65",16,"2,8236778846","52,62","64,73","52,62","67,55",15,13,5,33,"88,96","91,78","19,70","19,70","81,24","84,06","13,42","13,42","79,30","82,12","11,84","11,84",,"18,08","1,24",26,,"91,78",,,TAK,1,1,0
1124,"RIBENA 80x60x4 - Pro_Tech, grafitowy",KOST-BET,"19,89","76,72",,"92,35","1174,65",16,"2,8236778846","50,3","61,87","50,3","64,7",15,13,5,33,"84,92","87,74","18,73","18,73","77,53","80,35","12,73","12,73","75,68","78,50","11,22","11,22",,"18,08","1,24",26,,"87,74",,,TAK,1,1,0
